,parliament,edate,year,province,riding,id,candidate_name,birth_year,gender,censuscategory,party_major_group,votes,percent_votes,elected,age,oldest_mp_age,margin
27945,35,1993-10-25,1993,Ontario,PETERBOROUGH,5682,"DOMM, Bill",,M,Business,Conservative,11623,20.063869,Not elected,,69,-27.536683
27946,35,1993-10-25,1993,Ontario,LINCOLN,29189,"SWECK, Andy",,M,Management,Reform_Alliance,14325,25.738464,Not elected,,69,-26.453572
27947,35,1993-10-25,1993,Quebec,HULL--AYLMER,5938,"DUBOIS, Linda",,F,Social,Third_Party,63,0.11989038,Not elected,,69,-53.14188962
27948,35,1993-10-25,1993,Quebec,SAINT-HENRI--WESTMOUNT,27132,"ROMAIN, Eugenia",,F,Health,Bloc,7950,18.91551,Not elected,,69,-42.803777999999994
27949,35,1993-10-25,1993,Quebec,HULL--AYLMER,2208,"BOURQUE, Francine",,F,Social,CCF_NDP,1346,2.5614676,Not elected,,69,-50.7003124
27950,35,1993-10-25,1993,Ontario,MISSISSAUGA WEST,7088,"FOSTER, Dwayne",,M,Social,Third_Party,168,0.17522085,Not elected,,69,-55.69415615
27951,35,1993-10-25,1993,New Brunswick,FREDERICTON--YORK--SUNBURY,7196,"FRASER, Doreen",,F,Business,Independent,226,0.48390895,Not elected,,69,-46.13194005
27952,35,1993-10-25,1993,Ontario,TIMISKAMING--FRENCH-RIVER,21517,"LOUIE, Dan",,M,Business,Reform_Alliance,3870,13.254333,Not elected,,69,-46.534009
27953,35,1993-10-25,1993,Saskatchewan,SASKATOON--HUMBOLDT,9162,"HEAD, Bob",,M,Resources,Reform_Alliance,11155,29.837372,Not elected,,69,-4.501686000000003
27954,35,1993-10-25,1993,Ontario,DON VALLEY EAST,4148,"COLLENETTE, David",1946,M,Business,Liberal,21630,53.697773,Elected,47,69,30.525557999999997
27955,35,1993-10-25,1993,Ontario,SCARBOROUGH--AGINCOURT,24694,"NORD, Bruce",,M,Culture,Independent,273,0.65985066,Not elected,,69,-59.06509034
27956,35,1993-10-25,1993,British Columbia,KOOTENAY WEST--REVELSTOKE,8209,"GOUK, Jim",1946,M,Sales,Reform_Alliance,11348,32.459953,Elected,47,69,2.0823779999999985
27957,35,1993-10-25,1993,Saskatchewan,THE BATTLEFORDS--MEADOW LAKE,3740,"CHEVELDAYOFF, Ken",,M,Resources,Conservative,4299,13.739653,Not elected,,69,-17.491768999999998
27958,35,1993-10-25,1993,Ontario,Kent,5234,"DE MEESTER, Aaron G.",,M,Business,CCF_NDP,1368,3.7646542,Not elected,,69,-60.017060799999996
27959,35,1993-10-25,1993,Ontario,ERIE,31118,"WILSON, Bradd",,M,Sales,Conservative,5894,14.494037,Not elected,,69,-34.201401000000004
